Index,network,μ,β,p
198,Erdos-Renyi_500_350.net,0.5,0.94,0.5129438202247194
200,Erdos-Renyi_500_350.net,0.5,0.96,0.5114382022471912
202,Erdos-Renyi_500_350.net,0.5,0.98,0.5128988764044943
204,Erdos-Renyi_500_350.net,0.5,1.0,0.5167865168539324
206,Erdos-Renyi_500_350.net,0.9,0.0,0.00026966292134831464
208,Erdos-Renyi_500_350.net,0.9,0.02,0.030067415730337076
210,Erdos-Renyi_500_350.net,0.9,0.04,0.05557303370786516
212,Erdos-Renyi_500_350.net,0.9,0.06,0.07817977528089885
214,Erdos-Renyi_500_350.net,0.9,0.08,0.10094382022471912
216,Erdos-Renyi_500_350.net,0.9,0.1,0.11750561797752805
218,Erdos-Renyi_500_350.net,0.9,0.12,0.13732584269662923
220,Erdos-Renyi_500_350.net,0.9,0.14,0.15474157303370784
222,Erdos-Renyi_500_350.net,0.9,0.16,0.16984269662921353
224,Erdos-Renyi_500_350.net,0.9,0.18,0.1825617977528091
226,Erdos-Renyi_500_350.net,0.9,0.2,0.1962696629213484
228,Erdos-Renyi_500_350.net,0.9,0.22,0.20912359550561804
230,Erdos-Renyi_500_350.net,0.9,0.24,0.22058426966292125
232,Erdos-Renyi_500_350.net,0.9,0.26,0.22905617977528092
234,Erdos-Renyi_500_350.net,0.9,0.28,0.24370786516853934
236,Erdos-Renyi_500_350.net,0.9,0.3,0.25094382022471906
238,Erdos-Renyi_500_350.net,0.9,0.32,0.26067415730337073
240,Erdos-Renyi_500_350.net,0.9,0.34,0.26822471910112355
242,Erdos-Renyi_500_350.net,0.9,0.36,0.2769438202247189
244,Erdos-Renyi_500_350.net,0.9,0.38,0.2841573033707865
246,Erdos-Renyi_500_350.net,0.9,0.4,0.29179775280898884
248,Erdos-Renyi_500_350.net,0.9,0.42,0.2970337078651685
250,Erdos-Renyi_500_350.net,0.9,0.44,0.3064044943820225
252,Erdos-Renyi_500_350.net,0.9,0.46,0.31134831460674145
254,Erdos-Renyi_500_350.net,0.9,0.48,0.3167640449438201
256,Erdos-Renyi_500_350.net,0.9,0.5,0.3217303370786516
258,Erdos-Renyi_500_350.net,0.9,0.52,0.3269438202247191
