Index,network,μ,β,p
45,Barabasi-Albert_50_600_6.net,0.1,0.88,0.9094364108268338
46,Barabasi-Albert_50_600_9_1.net,0.1,0.44,0.9097645532072566
47,Barabasi-Albert_50_600_6.net,0.1,0.92,0.9093214682980987
48,Barabasi-Albert_50_600_9_1.net,0.1,0.46,0.9087819799777429
49,Barabasi-Albert_50_600_6.net,0.1,0.96,0.9085205784204573
50,Barabasi-Albert_50_600_9_1.net,0.1,0.48,0.9089951798294299
51,Barabasi-Albert_50_600_6.net,0.1,1.0,0.9093678160919441
52,Barabasi-Albert_50_600_9_1.net,0.1,0.5,0.9091397849462263
53,Barabasi-Albert_50_600_6.net,0.5,0.02,0.26362254356692616
54,Barabasi-Albert_50_600_9_1.net,0.1,0.52,0.9094271412680652
55,Barabasi-Albert_50_600_6.net,0.5,0.06,0.4585446792732656
56,Barabasi-Albert_50_600_9_1.net,0.1,0.54,0.9091193919169342
57,Barabasi-Albert_50_600_6.net,0.5,0.1,0.5429606970708205
58,Barabasi-Albert_50_600_9_1.net,0.1,0.56,0.9084260289210121
59,Barabasi-Albert_50_600_6.net,0.5,0.14,0.5882628846866885
60,Barabasi-Albert_50_600_9_1.net,0.1,0.58,0.9092361883574237
61,Barabasi-Albert_50_600_6.net,0.5,0.18,0.6166166110493159
62,Barabasi-Albert_50_600_9_1.net,0.1,0.6,0.9087838338894971
63,Barabasi-Albert_50_600_6.net,0.5,0.22,0.632502780867629
64,Barabasi-Albert_50_600_9_1.net,0.1,0.62,0.9089284390062932
65,Barabasi-Albert_50_600_6.net,0.5,0.26,0.6449647756766752
66,Barabasi-Albert_50_600_9_1.net,0.1,0.64,0.9089692250648775
67,Barabasi-Albert_50_600_6.net,0.5,0.3,0.6511957730811979
68,Barabasi-Albert_50_600_9_1.net,0.1,0.66,0.9090563589173063
69,Barabasi-Albert_50_600_6.net,0.5,0.34,0.6567352614015538
70,Barabasi-Albert_50_600_9_1.net,0.1,0.68,0.9089822024471536
71,Barabasi-Albert_50_600_6.net,0.5,0.38,0.660659992584351
72,Barabasi-Albert_50_600_9_1.net,0.1,0.7,0.9097441601779652
73,Barabasi-Albert_50_600_6.net,0.5,0.42,0.6631497960697045
74,Barabasi-Albert_50_600_9_1.net,0.1,0.72,0.9092918057100374
75,Barabasi-Albert_50_600_6.net,0.5,0.46,0.6648405635891708
76,Barabasi-Albert_50_600_9_1.net,0.1,0.74,0.9091027067111508
77,Barabasi-Albert_50_600_6.net,0.5,0.5,0.6650889877641804
78,Barabasi-Albert_50_600_9_1.net,0.1,0.76,0.909147200593242
79,Barabasi-Albert_50_600_6.net,0.5,0.54,0.6661568409343687
80,Barabasi-Albert_50_600_9_1.net,0.1,0.78,0.9085836114200856
81,Barabasi-Albert_50_600_6.net,0.5,0.58,0.6665257693733749
82,Barabasi-Albert_50_600_9_1.net,0.1,0.8,0.9091305153874579
83,Barabasi-Albert_50_600_6.net,0.5,0.62,0.6663070077864272
84,Barabasi-Albert_50_600_9_1.net,0.1,0.82,0.9091861327400718
85,Barabasi-Albert_50_600_6.net,0.5,0.66,0.666748238783832
86,Barabasi-Albert_50_600_9_1.net,0.1,0.84,0.9093214682980993
