Index,network,μ,β,p
220,ER_500_07.net,0.9,0.14,0.527977528089888
222,ER_N500_k6.net,0.5,0.44,0.6496363513543941
224,ER_500_07.net,0.9,0.18,0.5275505617977528
225,ER_N500_k6.net,0.5,0.46,0.6496138344103938
226,ER_500_07.net,0.9,0.2,0.5275280898876404
228,ER_N500_k6.net,0.5,0.48,0.6519105626984306
230,ER_500_07.net,0.9,0.24,0.528988764044944
231,ER_N500_k6.net,0.5,0.5,0.6571570106505145
232,ER_500_07.net,0.9,0.26,0.5287191011235954
234,ER_N500_k6.net,0.5,0.52,0.6558735448424939
236,ER_500_07.net,0.9,0.3,0.5291910112359547
237,ER_N500_k6.net,0.5,0.54,0.6545675620904734
238,ER_500_07.net,0.9,0.32,0.5279999999999999
240,ER_N500_k6.net,0.5,0.56,0.657382180090518
242,ER_500_07.net,0.9,0.36,0.5279775280898878
243,ER_N500_k6.net,0.5,0.58,0.6638445430186214
244,ER_500_07.net,0.9,0.38,0.528067415730337
246,ER_N500_k6.net,0.5,0.6,0.6598365269865575
248,ER_500_07.net,0.9,0.42,0.5278876404494381
249,ER_N500_k6.net,0.5,0.62,0.6615252977865843
250,ER_500_07.net,0.9,0.44,0.5273033707865167
252,ER_N500_k6.net,0.5,0.64,0.6618180180585891
254,ER_500_07.net,0.9,0.48,0.5281123595505617
255,ER_N500_k6.net,0.5,0.66,0.6638445430186216
256,ER_500_07.net,0.9,0.5,0.5278202247191012
258,ER_N500_k6.net,0.5,0.68,0.6622008061065948
260,ER_500_07.net,0.9,0.54,0.5279325842696632
261,ER_N500_k6.net,0.5,0.7,0.6613676791785822
262,ER_500_07.net,0.9,0.56,0.5279775280898876
264,ER_N500_k6.net,0.5,0.72,0.6662088221386593
266,ER_500_07.net,0.9,0.6,0.5280224719101122
267,ER_N500_k6.net,0.5,0.74,0.6642498480106278
268,ER_500_07.net,0.9,0.62,0.5278202247191014
270,ER_N500_k6.net,0.5,0.76,0.6647227038346357
272,ER_500_07.net,0.9,0.66,0.5278876404494385
273,ER_N500_k6.net,0.5,0.78,0.666321406858661
274,ER_500_07.net,0.9,0.68,0.5285168539325844
276,ER_N500_k6.net,0.5,0.8,0.66562338159465
278,ER_500_07.net,0.9,0.72,0.5282471910112361
279,ER_N500_k6.net,0.5,0.82,0.6655333138186484
280,ER_500_07.net,0.9,0.74,0.527258426966292
282,ER_N500_k6.net,0.5,0.84,0.6645876021706334
284,ER_500_07.net,0.9,0.78,0.5273258426966292
285,ER_N500_k6.net,0.5,0.86,0.6664565085226632
286,ER_500_07.net,0.9,0.8,0.5276629213483147
288,ER_N500_k6.net,0.5,0.88,0.6679426268266871
290,ER_500_07.net,0.9,0.84,0.528179775280899
291,ER_N500_k6.net,0.5,0.9,0.6667492287946679
292,ER_500_07.net,0.9,0.86,0.5279101123595503
294,ER_N500_k6.net,0.5,0.92,0.66749228794668
296,ER_500_07.net,0.9,0.9,0.5288988764044944
297,ER_N500_k6.net,0.5,0.94,0.6648352885546376
298,ER_500_07.net,0.9,0.92,0.5275730337078653
300,ER_N500_k6.net,0.5,0.96,0.6669969151786721
302,ER_500_07.net,0.9,0.96,0.5274606741573035
303,ER_N500_k6.net,0.5,0.98,0.6662538560266599
304,ER_500_07.net,0.9,0.98,0.5284044943820224
306,ER_N500_k6.net,0.5,1.0,0.6669068474026706
309,ER_N500_k6.net,0.9,0.0,0.00027020332800432325
312,ER_N500_k6.net,0.9,0.02,0.10844160230573503
315,ER_N500_k6.net,0.9,0.04,0.1818468397469096
